product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P008;brânză telemea;Pilos;0.3;kg;lactate;2025-05-15;2025-05-21;9
P028;ulei floarea-soarelui;Bunica;1.0;l;alimente de bază;2025-05-15;2025-05-21;19
P026;banane;Lidl;1.0;kg;legume și fructe;2025-05-15;2025-05-21;16
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-05-15;2025-05-21;13
P024;apă plată;Aqua Carpatica;2.0;l;băuturi;2025-05-15;2025-05-21;5
P005;ouă mărimea M;Lidl;10.0;buc;ouă;2025-05-15;2025-05-21;7
P046;piper negru măcinat;Kotanyi;50.0;g;condimente;2025-05-15;2025-05-21;19
P031;biscuiți cu unt;Deluxe;0.2;kg;gustări;2025-05-15;2025-05-21;12
P049;vin alb demisec;Jidvei;0.75;l;băuturi;2025-05-15;2025-05-21;20
P037;detergent lichid;Persil;2.5;l;produse de menaj;2025-05-15;2025-05-21;22
P014;roșii cherry;Lidl;250.0;g;legume și fructe;2025-05-15;2025-05-21;11
P040;șampon păr gras;Head & Shoulders;400.0;ml;îngrijire personală;2025-05-15;2025-05-21;12
