product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P059;morcovi;Generic;0.5;kg;legume și fructe;2025-05-25;2025-05-28;12
P023;zahăr tos;Proxi;1.0;kg;alimente de bază;2025-05-22;2025-05-27;17
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-05-26;2025-05-28;9
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-05-23;2025-05-27;30
P024;apă plată;Aqua Carpatica;2.0;l;băuturi;2025-05-24;2025-05-27;20
P068;iaurt de băut;Activia;0.33;kg;lactate;2025-05-23;2025-05-27;7
P027;banane;Generic;1.0;kg;legume și fructe;2025-05-24;2025-05-27;10
P042;șampon păr gras;Schauma;400.0;ml;îngrijire personală;2025-05-23;2025-05-28;22
P030;ulei floarea-soarelui;Spornic;1.0;l;alimente de bază;2025-05-24;2025-05-27;14
P048;piper negru măcinat;Kamis;50.0;g;condimente;2025-05-26;2025-05-28;19
P033;biscuiți cu unt;RoStar;0.2;kg;gustări;2025-05-26;2025-05-28;10
P045;hârtie igienică 3 straturi;Motto;10.0;role;produse de menaj;2025-05-22;2025-05-28;16
